EP152017,               OTIS,     40,
20170916, 1800,  , TS, 19.5N, 110.2W,  55,  989,   80,   60,   60,   70,   40,   30,    0,    0,    0,    0,    0,    0,
20170917, 0000,  , TS, 19.8N, 110.2W,  50,  997,   80,   60,   60,   70,   40,   30,    0,    0,    0,    0,    0,    0,
20170917, 0600,  , TS, 20.2N, 110.3W,  45,  999,   80,   60,   70,   80,    0,    0,    0,    0,    0,    0,    0,    0,
20170917, 1200,  , TS, 20.6N, 110.5W,  45, 1001,   70,   60,   70,   80,    0,    0,    0,    0,    0,    0,    0,    0,
20170917, 1800,  , TS, 21.0N, 110.8W,  45, 1001,   60,   60,   60,   70,    0,    0,    0,    0,    0,    0,    0,    0,
20170918, 0000,  , TS, 21.1N, 111.2W,  45,  999,   60,   50,   60,   60,    0,    0,    0,    0,    0,    0,    0,    0,
20170918, 0600,  , TS, 21.2N, 111.6W,  45,  999,   60,   50,   60,   60,    0,    0,    0,    0,    0,    0,    0,    0,
20170918, 1200,  , TS, 21.3N, 112.0W,  45,  999,   60,   50,   60,   60,    0,    0,    0,    0,    0,    0,    0,    0,
20170918, 1800,  , TS, 21.4N, 112.5W,  40, 1002,   60,   50,   60,   60,    0,    0,    0,    0,    0,    0,    0,    0,
20170919, 0000,  , TS, 21.4N, 113.1W,  35, 1004,   50,   40,   50,   50,    0,    0,    0,    0,    0,    0,    0,    0,
20170919, 0600,  , TD, 21.4N, 113.6W,  30, 1004,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170919, 1200,  , TD, 21.5N, 114.2W,  30, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170919, 1800,  , TD, 21.7N, 114.8W,  30, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170920, 0000,  , LO, 21.9N, 115.4W,  30, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170920, 0600,  , LO, 22.0N, 116.0W,  25, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170920, 1200,  , LO, 22.1N, 116.6W,  25, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170920, 1800,  , LO, 22.1N, 117.2W,  25, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170921, 0000,  , LO, 22.1N, 117.5W,  25, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170921, 0600,  , LO, 22.4N, 117.5W,  25, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170921, 1200,  , LO, 22.5N, 117.3W,  20, 1008,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170921, 1800,  , LO, 22.6N, 117.0W,  20, 1008,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170922, 0000,  , LO, 22.5N, 116.5W,  20, 1010,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170922, 0600,  , LO, 22.3N, 116.0W,  20, 1010,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
EP182017,              PILAR,     15,
20170922, 0000,  , LO, 16.7N, 103.3W,  25, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170922, 0600,  , LO, 16.8N, 103.6W,  25, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170922, 1200,  , LO, 16.9N, 103.9W,  25, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170922, 1800,  , LO, 17.1N, 104.2W,  25, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170923, 0000,  , LO, 17.3N, 104.4W,  25, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170923, 0600,  , LO, 17.6N, 104.7W,  25, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170923, 1200,  , TD, 17.9N, 105.0W,  30, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170923, 1800,  , TS, 18.2N, 105.2W,  35, 1004,   30,   30,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170924, 0000,  , TS, 18.6N, 105.4W,  35, 1003,   30,   30,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170924, 0600,  , TS, 19.2N, 105.7W,  40, 1002,   40,   40,    0,   30,    0,    0,    0,    0,    0,    0,    0,    0,
20170924, 1200,  , TS, 20.0N, 106.0W,  45, 1000,   40,   40,    0,   30,    0,    0,    0,    0,    0,    0,    0,    0,
20170924, 1800,  , TS, 20.9N, 106.3W,  45, 1000,   40,   40,    0,   30,    0,    0,    0,    0,    0,    0,    0,    0,
20170925, 0000,  , TS, 21.8N, 106.6W,  40, 1002,   40,   40,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170925, 0600,  , TS, 22.3N, 106.8W,  35, 1003,   40,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20170925, 1200,  , LO, 22.6N, 107.0W,  25, 1004,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
EP192017,              RAMON,      5,
20171003, 1800,  , TD, 13.9N,  94.9W,  25, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20171004, 0000,  , TD, 14.2N,  95.2W,  30, 1004,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20171004, 0600,  , TS, 14.6N,  95.7W,  40, 1002,    0,    0,   30,   30,    0,    0,    0,    0,    0,    0,    0,    0,
20171004, 1200,  , TS, 14.9N,  96.4W,  40, 1002,   30,   30,   30,   30,    0,    0,    0,    0,    0,    0,    0,    0,
20171004, 1800,  , TS, 15.1N,  97.3W,  35, 1004,   30,   30,   30,   30,    0,    0,    0,    0,    0,    0,    0,    0,
EP202017,              SELMA,      9,
20171026, 1800,  , LO, 10.3N,  88.6W,  30, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20171027, 0000,  , TD, 10.3N,  88.9W,  30, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20171027, 0600,  , TS, 10.5N,  89.2W,  35, 1004,    0,   40,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20171027, 1200,  , TS, 10.8N,  89.3W,  35, 1004,    0,   40,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20171027, 1800,  , TS, 11.3N,  89.3W,  35, 1004,   30,   40,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20171028, 0000,  , TS, 12.0N,  89.1W,  35, 1004,   30,   40,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20171028, 0600,  , TS, 12.7N,  89.0W,  35, 1004,   30,   40,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20171028, 1100, L, TS, 13.4N,  89.0W,  35, 1004,    0,   40,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20171028, 1200,  , TD, 13.5N,  89.0W,  30, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
